id,web_name,now_cost,total_points,form,minutes,expected_goals,expected_assists,expected_goal_involvements,position,team_name,base_xP,team,next_3_fdr,AI_xP
1,Raya,6.0,29,7.2,360,0.0,0.01,0.01,GK,Arsenal,25.120000000000005,1,2.6666666666666665,28.260000000000005
2,Arrizabalaga,4.9,0,0.0,0,0.0,0.0,0.0,GK,Arsenal,0.0,1,2.6666666666666665,0.0
3,Meslier,4.9,0,0.0,0,0.0,0.0,0.0,GK,Arsenal,0.0,1,2.6666666666666665,0.0
4,Gabriel,8.0,24,6.0,360,0.51,0.06,0.57,DEF,Arsenal,21.11,1,2.6666666666666665,23.74875
5,J.Timber,6.5,1,0.2,45,0.0,0.01,0.01,DEF,Arsenal,1.04,1,2.6666666666666665,1.17
6,Saliba,5.9,0,0.0,0,0.0,0.0,0.0,DEF,Arsenal,0.0,1,2.6666666666666665,0.0
7,Lewis-Skelly,5.5,9,2.2,271,0.16,0.23,0.39,MID,Arsenal,11.66,1,2.6666666666666665,13.1175
8,Calafiori,5.8,28,7.0,326,0.6,0.59,1.19,DEF,Arsenal,23.74,1,2.6666666666666665,26.7075
9,Hincapie,5.3,2,0.5,32,0.0,0.0,0.0,DEF,Arsenal,1.7275,1,2.6666666666666665,1.9434375
10,White,5.5,21,5.2,315,0.18,0.29,0.47,DEF,Arsenal,19.16,1,2.6666666666666665,21.555
11,Mosquera,5.4,12,3.0,168,0.0,0.01,0.01,DEF,Arsenal,4.43,1,2.6666666666666665,4.98375
12,Saka,9.5,30,7.5,336,2.88,0.43,3.31,MID,Arsenal,28.81,1,2.6666666666666665,32.411249999999995
13,Rice,7.4,19,4.8,321,0.1,0.63,0.73,MID,Arsenal,17.29,1,2.6666666666666665,19.451249999999998
14,Eze,6.3,3,0.8,68,0.04,0.07,0.11,MID,Arsenal,2.99,1,2.6666666666666665,3.3637500000000005
15,Ødegaard,6.7,27,6.8,305,1.01,1.3,2.31,MID,Arsenal,25.12,1,2.6666666666666665,28.26
16,Madueke,6.3,2,0.5,23,0.0,0.05,0.05,MID,Arsenal,2.14,1,2.6666666666666665,2.4075
17,Merino,5.8,3,0.8,51,0.14,0.02,0.16,MID,Arsenal,2.93,1,2.6666666666666665,3.29625
