team,team_name,next_3_fdr
1,Arsenal,2.6666666666666665
2,Aston Villa,3.0
3,Bournemouth,3.6666666666666665
4,Brentford,3.6666666666666665
5,Brighton,3.0
6,Chelsea,2.6666666666666665
7,Coventry City,2.3333333333333335
8,Crystal Palace,2.6666666666666665
9,Everton,2.3333333333333335
10,Fulham,3.3333333333333335
11,Hull City,3.3333333333333335
12,Ipswich Town,2.6666666666666665
13,Leeds,3.3333333333333335
14,Liverpool,3.0
15,Man City,3.3333333333333335
16,Man Utd,3.3333333333333335
17,Newcastle,2.3333333333333335
18,Nott'm Forest,3.0
19,Spurs,3.3333333333333335
20,Sunderland,3.6666666666666665
